dev_id,car_model
M1200607581,Niro EV
M1200607582,Niro EV
M1200607583,Niro EV
M1200607584,Niro EV
M1200607586,Niro EV
M1200607587,Niro EV
M1200607589,Niro EV
M1200607590,Niro EV
M1200607591,Niro EV
M1200607592,Niro EV
M1200607593,Niro EV
M1200607597,Niro EV
M1200607598,Niro EV
M1200607600,Niro EV
M2210703601,Niro EV
M2210703603,Niro EV
M2210703604,Niro EV
M2210703606,Niro EV
M2210703607,Niro EV
M2210703609,Niro EV
M2210703610,Niro EV
M2210703611,Niro EV
M2210703612,Niro EV
M2210703623,Niro EV
M2210703624,Niro EV
M2210703625,Niro EV
M2210703627,Niro EV
M2210703629,Niro EV
M2210703638,Niro EV
M2210703640,Niro EV
M2210703641,Niro EV
M2210703642,Niro EV
M2210703643,Niro EV
M2210703665,Niro EV
M2210703667,Niro EV
M2210703668,Niro EV
M2210703682,Niro EV
M2210703683,Niro EV
M2210703684,Niro EV
M2210703685,Niro EV
M2210703688,Niro EV
M2210703691,Niro EV
M2210703693,Niro EV
M2210703694,Niro EV
M2210703697,Niro EV
M2210703698,Niro EV
M2210703700,Niro EV
M2210703701,Niro EV
M2210703703,Niro EV
M2210703705,Niro EV
M2210703706,Niro EV
M2210703733,Niro EV
M2210703734,Niro EV
M2210703735,Niro EV
M2210703736,Niro EV
M2210703737,Niro EV
M2210703738,Niro EV
M2210703740,Niro EV
M2210703741,Niro EV
M2210703742,Niro EV
M2210703743,Niro EV
M2210703806,Niro EV
M2210703807,Niro EV
M2210703808,Niro EV
M2210703809,Niro EV
M2210703810,Niro EV
M2210703812,Niro EV
M2210703814,Niro EV
M2210703815,Niro EV
M2210703816,Niro EV
M2210703817,Niro EV
M2210703818,Niro EV
M2210703819,Niro EV
M2210703821,Niro EV
M2210703823,Niro EV
M2210703824,Niro EV
M2210703825,Niro EV
M2210703826,Niro EV
M2210703827,Niro EV
M2210703828,Niro EV
M2210703829,Niro EV
M2210703830,Niro EV
M2210703831,Niro EV
M2210703832,Niro EV
M2210703833,Niro EV
M2210703835,Niro EV
M2210703838,Niro EV
M2210703839,Niro EV
M2210703840,Niro EV
M2210703865,Niro EV
M2210703869,Niro EV
M2210703870,Niro EV
M2210703871,Niro EV
M2210703875,Niro EV
M2210703876,Niro EV
M2210703877,Niro EV
M2210703878,Niro EV
M2210703880,Niro EV
M2210703881,Niro EV
M2210703882,Niro EV
M2210703884,Niro EV
M2210703885,Niro EV
M2210703886,Niro EV
M2210703887,Niro EV
M2210703889,Niro EV
M2210703890,Niro EV
M2210703891,Niro EV
M2210703892,Niro EV
M2210703893,Niro EV
M2210703894,Niro EV
M2210703895,Niro EV
M2210703896,Niro EV
M2210703899,Niro EV
M2210703900,Niro EV
M2210703901,Niro EV
M2210703902,Niro EV
M2210703904,Niro EV
M2210703905,Niro EV
M2210703906,Niro EV
M2210703907,Niro EV
M2210703908,Niro EV
M2210703909,Niro EV
M2210703949,Niro EV
M2210703950,Niro EV
M2210703951,Niro EV
M2210703952,Niro EV
M2210703953,Niro EV
M2210703954,Niro EV
M2210703955,Niro EV
M2210703956,Niro EV
M2210703957,Niro EV
M2210703958,Niro EV
M2210703959,Niro EV
M2210703960,Niro EV
M2210703961,Niro EV
M2210703962,Niro EV
M2210703963,Niro EV
M2210703966,Niro EV
M2210703967,Niro EV
M2210703968,Niro EV
M2210703969,Niro EV
M2210704000,Niro EV
M2211120767,Niro EV
M2210703664,Niro EV
M2210704273,IONIQ
M2211120166,IONIQ5
M2211120241,IONIQ
M2211120322,IONIQ
M2211120338,IONIQ
M2211120553,EV6
M2211120585,IONIQ
M2211120856,IONIQ5
M2211120957,EV6
M2211121268,IONIQ
M2211121308,eG80
M2211121354,IONIQ
M2211121499,eGV70
M2211121506,IONIQ
M2211121586,IONIQ
M2211121592,IONIQ
M2211121922,Niro EV
M2211121937,Niro Plus
M2211121951,Niro Plus
M2211122194,Niro EV
M2211122586,IONIQ
M2211122621,IONIQ
M2211122774,GV60
M2211122822,IONIQ
M2211122879,IONIQ
M2211122911,GV60
M2211122952,GV60
M2211123004,EV6
M2211123014,EV6
M2211123049,IONIQ5
M2211123050,IONIQ5
M2211123071,IONIQ5
M2211123256,EV6
M2211123277,IONIQ
M2220343143,IONIQ
M2220343335,eG80
M2220343494,IONIQ5
M2220343508,IONIQ
M2220343576,eG80
M2220343598,eG80
M2220343614,EV6
M2220343670,IONIQ5
M2220343706,Niro EV
M2220343890,IONIQ5
M2220343998,Niro EV
M2220344051,IONIQ
M2220344057,EV6
M2220344075,EV6
M2220344147,IONIQ5
M2220344260,GV60
M2220344279,Niro Plus
M2220344284,IONIQ
M2220344323,EV6
M2220344335,Niro Plus
M2220344421,Niro EV
M2220344465,eG80
M2220344499,Niro Plus
M2220344594,eG80
M2220344672,eG80
M2220876522,IONIQ5
M2220876618,IONIQ5
M2220876806,IONIQ
M2220876853,IONIQ5
M2220876938,IONIQ5
M2220877019,IONIQ
M2220877064,Niro Plus
M2220877160,EV6
M2220877290,EV6
M2220877730,IONIQ5
M2220877778,IONIQ5
M2220877935,EV6
M2220877989,Niro EV
M2220877994,EV6
M2220878172,IONIQ5
M2220878248,IONIQ5
M2220878347,EV6
M2220878514,Niro EV
M2220878586,IONIQ
M2220878587,EV6
M2220878612,EV6
M2220878713,IONIQ5
M2220878728,EV6
M2220878765,IONIQ5
M2220878776,EV6
M2220878782,EV6
M2220878893,EV6
M2220878915,IONIQ5
M2220878924,Niro EV
M2220878999,Niro Plus
M2220879134,The All-New Niro EV
M2220879227,IONIQ5
M2220879255,IONIQ5
M2220879294,EV6
M2220879334,The All-New Niro EV
M2220879373,The All-New Niro EV
M2220879380,The All-New Niro EV
M2220879429,IONIQ5
M2220879460,IONIQ5
M2220879555,The All-New Niro EV
M2220879582,The All-New Niro EV
M2220879807,EV6
M2220878171,eG80
M2220878891,eG80
M2220877633,eG80
M2220878998,eG80
M2220877602,eG80
M2220879063,eG80
M2220343232,eG80
M2220343239,eG80
M2220876934,eG80
M2220876947,eG80
M2220879088,eG80
M2220879424,eG80
M2220877724,eG80
M2220879746,eG80
M2220877774,eG80
M2220879821,eG80
M2220879810,eG80
M2220877209,eG80
M2220877233,eG80
M2220878835,eG80
M2220343306,eGV70
M2220343188,eGV70
M2220878187,eGV70
M2211120485,eGV70
M2211120932,eGV70
M2211120940,eGV70
M2211121393,eGV70
M2211120946,eGV70
M2211120965,eGV70
M2211121396,eGV70
M2211120943,eGV70
M2211121400,eGV70
M2211121574,eGV70
M2210704189,eGV70
M2211120910,eGV70
M2211121420,eGV70
M2220343704,eGV70
M2220343747,eGV70
M2211121518,eGV70
M2211121525,eGV70
M2220343527,GV60
M2220343509,GV60
M2220876827,GV60
M2220877031,GV60
M2220876829,GV60
M2211120390,GV60
M2211120172,GV60
M2220344486,GV60
M2211121953,GV60
M2220343961,GV60
M2220877597,GV60
M2220343146,GV60
M2220344138,GV60
M2220878523,GV60
M2211121279,GV60
M2211120351,GV60
M2211123028,GV60
M2211121225,GV60
M2220343870,GV60
M2220878266,GV60
M2220343044,Niro Plus
M2220344533,Niro Plus
M2220343506,Niro Plus
M2220343504,Niro Plus
M2220343503,Niro Plus
M2220877082,Niro Plus
M2220877086,Niro Plus
M2220877857,Niro Plus
M2220877895,Niro Plus
M2220877084,Niro Plus
M2220877049,Niro Plus
M2220877068,Niro Plus
M2220877886,Niro Plus
M2220877853,Niro Plus
M2220877056,Niro Plus
M2220877065,Niro Plus
M2220877891,Niro Plus
M2220877067,Niro Plus
M2220877858,Niro Plus
M2220344275,Niro EV
M2220343960,Niro EV
M2220344181,Niro EV
M2220344261,Niro EV
M2220343929,Niro EV
M2220344078,Niro EV
M2220343915,Niro EV
M2220344342,Niro EV
M2220344700,Niro EV
M2220344753,Niro EV
M2220344631,Niro EV
M2220344608,Niro EV
M2220344618,Niro EV
M2220344625,Niro EV
M2220344603,Niro EV
M2220344621,Niro EV
M2220344638,Niro EV
M2220344615,Niro EV
M2220344393,Niro EV
M2220344624,Niro EV
