car_id,charge_type,start_soc,end_soc,soc_quan,start_time,end_time,duration,duration_hour,lines,b_modul_1_temp_avg,b_modul_2_temp_avg,b_modul_3_temp_avg,b_modul_4_temp_avg,b_pack_current_avg,b_pack_volt_avg,source_path,car_type,fast_pack_current_ref,fast_modul_temp_ref,slow_pack_current_ref,slow_modul_temp_ref,fast_slope_1,fast_slope_2,fast_slope_3,slow_slope_1,slow_slope_2,slow_slope_3
M2211121953,slow,61.0,76.0,15.0,2023-08-25 02:11:27,2023-08-25 05:14:09,10962.0,3.045,1084,27.448339483394832,28.94280442804428,26.81088560885609,27.43450184501845,-5.594557195571955,749.9889298892989,GV60/M2211121953.csv#segment_59,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.926108374384237,5.13554615711241,5.13648596055571
M2211121953,slow,40.0,71.5,31.5,2023-09-11 02:05:30,2023-09-11 06:37:35,16325.0,4.534722222222222,1625,28.665846153846154,30.306461538461537,28.33476923076923,29.246153846153845,-8.134215384615384,726.4745846153847,GV60/M2211121953.csv#segment_73,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.946401225114855,4.980725298476806,4.907963133736868
M2211121953,slow,72.0,87.0,15.0,2023-09-13 03:04:39,2023-09-13 05:35:21,9042.0,2.5116666666666667,906,27.997792494481235,29.193156732891833,27.67439293598234,28.0,-6.874834437086093,766.7900662251656,GV60/M2211121953.csv#segment_77,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.972130059721301,5.066585855839739,5.039281886406342
M2211121953,slow,55.0,95.0,40.0,2023-09-27 01:30:11,2023-09-27 07:20:12,21001.0,5.833611111111111,1978,25.040950455005056,26.35793731041456,24.27401415571284,24.275530839231543,-7.728109201213347,760.3731547017189,GV60/M2211121953.csv#segment_88,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.8568163420789485,5.174848740216386,5.314068970023718
M2211121953,fast,46.0,83.0,37.0,2023-09-29 14:37:50,2023-09-29 15:02:00,1450.0,0.4027777777777778,99,33.656565656565654,35.515151515151516,33.42424242424242,34.85858585858586,-102.38181818181818,766.5525252525252,GV60/M2211121953.csv#segment_90,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,91.86206896551724,66.68744083510029,64.67484892856895,,,
M2211121953,slow,71.0,97.0,26.0,2023-10-02 23:34:28,2023-10-03 05:24:47,21019.0,5.838611111111111,2056,23.973249027237355,25.751459143968873,23.007782101167315,23.398346303501945,-4.990077821011672,781.6269455252918,GV60/M2211121953.csv#segment_93,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.453113849374376,5.204809911915213,5.394510850653576
M2211121953,slow,80.0,97.0,17.0,2023-10-06 01:53:36,2023-10-06 04:57:31,11035.0,3.0652777777777778,1046,17.399617590822178,18.47036328871893,16.796367112810707,16.918738049713195,-6.277533460803059,784.414913957935,GV60/M2211121953.csv#segment_94,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.545990031717263,5.152742518220994,5.682504287972162
M2211121953,slow,57.0,77.5,20.5,2023-10-11 04:00:12,2023-10-11 07:00:18,10806.0,3.0016666666666665,1082,18.93900184842883,20.196857670979668,18.50277264325323,18.917744916820705,-7.902218114602588,745.3665434380778,GV60/M2211121953.csv#segment_96,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.829539144919489,5.040699163429978,5.471091122896587
M2211121953,slow,76.0,97.0,21.0,2023-10-15 00:11:04,2023-10-15 05:24:50,18826.0,5.229444444444445,1880,18.98404255319149,20.404255319148938,18.405851063829783,18.658510638297873,-4.630212765957446,783.1270744680851,GV60/M2211121953.csv#segment_109,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.015722936364602,5.0583769070879665,5.491589857735277
M2211121953,slow,72.5,96.0,23.5,2023-10-21 03:21:18,2023-10-21 07:14:33,13995.0,3.8875,1331,16.883546205860256,17.573253193087904,16.231404958677686,15.76709241172051,-6.863561232156274,774.3064613072878,GV60/M2211121953.csv#segment_114,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.045016077170418,5.13684357207754,5.705163840299259
